store_id,product_id,quantity
1,1,15
1,2,34
1,3,18
1,4,73
1,5,13
1,6,66
1,7,7
1,8,51
1,9,66
1,10,52
1,11,43
1,12,93
1,13,27
1,14,58
1,15,78
1,16,6
1,17,5
1,18,63
1,19,64
1,20,70
1,21,89
1,22,9
1,23,58
1,24,82
1,25,58
1,26,95
1,27,19
1,28,61
1,29,95
1,30,31
1,31,96
1,32,41
1,33,51
1,34,100
1,35,97
1,36,64
1,37,67
1,38,16
1,39,99
1,40,28
1,41,34
1,42,19
1,43,22
1,44,18
1,45,56
1,46,84
1,47,18
1,48,40
1,49,12
1,50,85
1,51,95
1,52,37
1,53,94
1,54,33
1,55,3
1,56,8
1,57,10
1,58,82
1,59,64
1,60,68
1,61,77
1,62,94
1,63,89
1,64,9
1,65,60
1,66,36
1,67,73
1,68,2
1,69,47
1,70,50
1,71,6
1,72,63
1,73,55
1,74,31
1,75,60
1,76,90
1,77,100
1,78,34
1,79,89
1,80,96
1,81,48
1,82,41
1,83,44
1,84,12
1,85,43
1,86,1
1,87,1
1,88,20
1,89,9
1,90,46
1,91,80
1,92,81
1,93,9
1,94,75
1,95,21
1,96,83
1,97,58
1,98,96
1,99,2
1,100,68
1,101,56
1,102,59
1,103,29
1,104,45
1,105,21
1,106,82
1,107,84
1,108,39
1,109,14
1,110,36
1,111,43
1,112,8
1,113,78
1,114,40
1,115,64
1,116,97
1,117,8
1,118,40
1,119,14
1,120,12
1,121,73
1,122,50
1,123,63
1,124,93
1,125,5
1,126,28
1,127,16
1,128,41
1,129,57
1,130,36
1,131,85
1,132,32
1,133,68
1,134,54
1,135,27
1,136,35
1,137,16
1,138,62
1,139,64
1,140,17
1,141,35
1,142,12
1,143,72
1,144,4
1,145,23
1,146,46
1,147,99
1,148,58
1,149,14
1,150,46
1,151,66
1,152,64
1,153,68
1,154,61
1,155,57
1,156,25
1,157,42
1,158,16
1,159,38
1,160,97
1,161,14
1,162,72
1,163,77
1,164,89
1,165,62
1,166,87
1,167,50
1,168,74
1,169,55
1,170,32
1,171,26
1,172,58
1,173,28
1,174,20
1,175,57
1,176,76
1,177,46
1,178,21
1,179,88
1,180,99
1,181,36
1,182,43
1,183,73
1,184,38
1,185,11
1,186,18
1,187,63
1,188,6
1,189,51
1,190,55
1,191,31
1,192,59
1,193,85
1,194,72
1,195,13
1,196,78
1,197,6
1,198,74
1,199,98
1,200,26
1,201,11
1,202,51
1,203,5
1,204,16
1,205,6
1,206,60
1,207,5
1,208,69
1,209,3
1,210,84
1,211,61
1,212,3
1,213,27
1,214,14
1,215,80
1,216,23
1,217,98
1,218,52
1,219,11
1,220,66
1,221,84
1,222,80
1,223,31
1,224,56
1,225,58
1,226,36
1,227,47
1,228,20
1,229,3
1,230,15
1,231,82
1,232,23
1,233,91
1,234,1
1,235,94
1,236,3
1,237,34
1,238,20
1,239,48
1,240,41
1,241,20
1,242,59
1,243,73
1,244,48
1,245,4
1,246,41
1,247,57
1,248,14
1,249,61
1,250,16
1,251,23
1,252,44
1,253,30
1,254,83
1,255,33
1,256,12
1,257,18
1,258,19
1,259,80
1,260,75
1,261,39
1,262,80
1,263,34
1,264,41
1,265,88
1,266,34
1,267,15
1,268,64
1,269,25
1,270,17
1,271,10
1,272,29
1,273,68
1,274,32
1,275,39
1,276,100
1,277,99
1,278,42
1,279,31
1,280,96
1,281,25
1,282,36
1,283,82
1,284,20
1,285,11
1,286,51
1,287,59
1,288,37
1,289,74
1,290,25
1,291,44
1,292,32
1,293,18
1,294,80
1,295,41
1,296,36
1,297,3
1,298,83
1,299,83
1,300,81
1,301,30
1,302,62
1,303,25
1,304,25
1,305,9
1,306,3
1,307,2
1,308,57
1,309,99
1,310,70
1,311,24
1,312,11
1,313,35
1,314,43
1,315,99
1,316,55
1,317,100
1,318,61
1,319,67
1,320,60
1,321,25
2,1,51
2,2,51
2,3,7
2,4,54
2,5,51
2,6,9
2,7,86
2,8,25
2,9,37
2,10,30
2,11,85
2,12,45
2,13,35
2,14,62
2,15,57
2,16,1
2,17,98
2,18,32
2,19,1
2,20,4
2,21,89
2,22,72
2,23,80
2,24,1
2,25,58
2,26,26
2,27,68
2,28,100
2,29,51
2,30,5
2,31,13
2,32,52
2,33,44
2,34,100
2,35,70
2,36,73
2,37,96
2,38,10
2,39,79
2,40,61
2,41,74
2,42,85
2,43,25
2,44,4
2,45,74
2,46,75
2,47,41
2,48,67
2,49,79
2,50,16
2,51,85
2,52,34
2,53,58
2,54,59
2,55,56
2,56,7
2,57,57
2,58,82
2,59,56
2,60,92
2,61,75
2,62,83
2,63,13
2,64,97
2,65,96
2,66,50
2,67,12
2,68,51
2,69,68
2,70,43
2,71,66
2,72,26
2,73,58
2,74,77
2,75,36
2,76,64
2,77,20
2,78,49
2,79,61
2,80,4
2,81,57
2,82,12
2,83,55
2,84,4
2,85,10
2,86,58
2,87,69
2,88,32
2,89,71
2,90,66
2,91,33
2,92,63
2,93,19
2,94,65
2,95,67
2,96,68
2,97,20
2,98,55
2,99,71
2,100,15
2,101,89
2,102,66
2,103,20
2,104,51
2,105,29
2,106,31
2,107,47
2,108,56
2,109,86
2,110,23
2,111,69
2,112,98
2,113,55
2,114,59
2,115,88
2,116,78
2,117,67
2,118,68
2,119,71
2,120,35
2,121,56
2,122,87
2,123,89
2,124,70
2,125,84
2,126,15
2,127,35
2,128,74
2,129,57
2,130,36
2,131,54
2,132,53
2,133,40
2,134,22
2,135,42
2,136,54
2,137,3
2,138,16
2,139,6
2,140,93
2,141,8
2,142,7
2,143,56
2,144,79
2,145,22
2,146,98
2,147,63
2,148,91
2,149,85
2,150,67
2,151,66
2,152,66
2,153,4
2,154,100
2,155,48
2,156,4
2,157,34
2,158,94
2,159,100
2,160,2
2,161,31
2,162,97
2,163,2
2,164,91
2,165,58
2,166,74
2,167,14
2,168,75
2,169,63
2,170,72
2,171,5
2,172,29
2,173,14
2,174,85
2,175,14
2,176,82
2,177,1
2,178,64
2,179,54
2,180,85
2,181,72
2,182,32
2,183,50
2,184,93
2,185,78
2,186,32
2,187,28
2,188,63
2,189,80
2,190,73
2,191,96
2,192,58
2,193,1
2,194,9
2,195,19
2,196,86
2,197,86
2,198,22
2,199,51
2,200,4
2,201,87
2,202,19
2,203,66
2,204,40
2,205,61
2,206,25
2,207,16
2,208,55
2,209,62
2,210,33
2,211,66
2,212,38
2,213,19
2,214,16
2,215,79
2,216,68
2,217,45
2,218,66
2,219,67
2,220,75
2,221,53
2,222,2
2,223,67
2,224,9
2,225,23
2,226,18
2,227,52
2,228,51
2,229,95
2,230,66
2,231,56
2,232,52
2,233,25
2,234,67
2,235,77
2,236,43
2,237,94
2,238,11
2,239,92
2,240,7
2,241,53
2,242,67
2,243,44
2,244,33
2,245,6
2,246,37
2,247,18
2,248,41
2,249,13
2,250,98
2,251,83
2,252,69
2,253,24
2,254,52
2,255,42
2,256,95
2,257,90
2,258,39
2,259,89
2,260,30
2,261,2
2,262,10
2,263,87
2,264,15
2,265,60
2,266,56
2,267,92
2,268,46
2,269,23
2,270,70
2,271,9
2,272,88
2,273,23
2,274,93
2,275,52
2,276,20
2,277,17
2,278,87
2,279,3
2,280,87
2,281,95
2,282,67
2,283,35
2,284,8
2,285,79
2,286,15
2,287,34
2,288,67
2,289,36
2,290,3
2,291,8
2,292,86
2,293,21
2,294,38
2,295,3
2,296,96
2,297,91
2,298,36
2,299,100
2,300,59
2,301,8
2,302,53
2,303,76
2,304,60
2,305,66
2,306,46
2,307,28
2,308,98
2,309,6
2,310,11
2,311,44
2,312,38
2,313,14
2,314,87
2,315,65
2,316,86
2,317,91
2,318,68
2,319,22
2,320,89
2,321,2
3,1,34
3,2,2
3,3,89
3,4,92
3,5,64
3,6,21
3,7,69
3,8,76
3,9,42
3,10,31
3,11,42
3,12,8
3,13,90
3,14,29
3,15,7
3,16,10
3,17,2
3,18,22
3,19,100
3,20,20
3,21,28
3,22,13
3,23,96
3,24,2
3,25,14
3,26,20
3,27,53
3,28,45
3,29,86
3,30,91
3,31,85
3,32,96
3,33,3
3,34,22
3,35,12
3,36,97
3,37,71
3,38,47
3,39,18
3,40,67
3,41,6
3,42,79
3,43,41
3,44,2
3,45,5
3,46,73
3,47,58
3,48,67
3,49,44
3,50,12
3,51,19
3,52,22
3,53,80
3,54,88
3,55,32
3,56,69
3,57,68
3,58,61
3,59,51
3,60,86
3,61,91
3,62,19
3,63,38
3,64,18
3,65,7
3,66,45
3,67,92
3,68,71
3,69,55
3,70,86
3,71,52
3,72,19
3,73,51
3,74,50
3,75,43
3,76,17
3,77,21
3,78,39
3,79,23
3,80,38
3,81,64
3,82,15
3,83,63
3,84,28
3,85,51
3,86,45
3,87,73
3,88,10
3,89,75
3,90,52
3,91,8
3,92,76
3,93,100
3,94,16
3,95,41
3,96,37
3,97,8
3,98,79
3,99,7
3,100,76
3,101,14
3,102,44
3,103,57
3,104,54
3,105,14
3,106,99
3,107,35
3,108,71
3,109,20
3,110,56
3,111,85
3,112,50
3,113,43
3,114,95
3,115,91
3,116,17
3,117,65
3,118,31
3,119,29
3,120,18
3,121,75
3,122,97
3,123,84
3,124,91
3,125,85
3,126,32
3,127,77
3,128,13
3,129,55
3,130,29
3,131,61
3,132,63
3,133,7
3,134,82
3,135,88
3,136,22
3,137,81
3,138,12
3,139,4
3,140,55
3,141,46
3,142,8
3,143,80
3,144,57
3,145,72
3,146,34
3,147,84
3,148,59
3,149,41
3,150,52
3,151,49
3,152,94
3,153,14
3,154,84
3,155,20
3,156,74
3,157,76
3,158,36
3,159,85
3,160,64
3,161,40
3,162,51
3,163,94
3,164,76
3,165,30
3,166,64
3,167,76
3,168,37
3,169,76
3,170,77
3,171,100
3,172,40
3,173,35
3,174,91
3,175,73
3,176,83
3,177,20
3,178,80
3,179,20
3,180,80
3,181,17
3,182,27
3,183,15
3,184,56
3,185,96
3,186,78
3,187,29
3,188,28
3,189,41
3,190,68
3,191,68
